Cluster Index	Z	x	y	z	
6	12.7	11.1	-133	12.5
6	11.2	11.8	-152	9.67
6	11	1.78	-134	5.74
6	10.3	9.49	-116	-10.1
6	8.14	13.2	-129	-6.08
6	7.6	18.1	-112	-18.1
5	5.32	-26	-134	-3.66
5	5.19	-34.4	-135	11.5
5	5.17	-30.9	-135	22.2
5	4.62	-44.1	-123	7.84
5	4.4	-24.1	-147	26.1
5	4.21	-44.4	-114	11.1
4	5.62	15.6	-113	62.5
3	4.29	24.3	-42.9	47.9
3	4.18	18.3	-37.2	55.2
3	3.54	18	-40.4	44.4
3	3.27	27.2	-32.8	54.5
2	4.1	-35.6	-113	72.7
2	3.56	-41.8	-114	69.4
1	3.95	25.7	-85.4	42.4
1	3.83	26	-79	53
