Cluster Index	Z	x	y	z	
6	12.7	37	15	26
6	11.2	37	9	25
6	11	34	15	24
6	10.3	37	20	20
6	8.14	38	16	21
6	7.6	40	21	18
5	5.32	25	16	21
5	5.19	22	16	25
5	5.17	23	16	28
5	4.62	19	20	24
5	4.4	25	12	29
5	4.21	19	23	25
4	5.62	38	21	40
3	4.29	42	42	37
3	4.18	40	44	39
3	3.54	40	43	36
3	3.27	43	45	39
2	4.1	21	23	42
2	3.56	19	23	41
1	3.95	42	29	35
1	3.83	42	31	38
