Cluster Index	Z	x	y	z	
6	10.5	31	14	23
6	9.29	26	16	20
6	9.11	31	9	25
6	8.91	30	17	21
6	7.93	22	12	16
6	7.65	29	8	24
5	4.96	33	30	2
5	4.91	31	30	2
5	4.37	29	25	3
5	4.21	34	25	2
5	3.48	31	27	2
4	4.82	43	20	17
4	4.73	45	22	16
4	4.17	42	17	18
4	3.65	40	20	16
3	4.06	26	40	31
3	3.45	24	37	33
2	4.09	39	26	36
2	4.04	40	29	40
1	4.64	21	25	24
1	4.42	19	23	25
