Cluster Index	Z	x	y	z	
6	10.5	-7.28	-138	2.79
6	9.29	-23.1	-134	-7.49
6	9.11	-6.27	-155	10.8
6	8.91	-11	-129	-4.73
6	7.93	-35.3	-148	-20.8
6	7.65	-12.3	-159	7.65
5	4.96	-6.84	-84.5	-76.4
5	4.91	-12.9	-85.3	-76
5	4.37	-18	-102	-71.3
5	4.21	-3.14	-100	-75.9
5	3.48	-12.5	-95.1	-75.6
4	4.82	27.1	-114	-22.2
4	4.73	32.7	-107	-26.5
4	4.17	24.7	-124	-17.9
4	3.65	17.9	-115	-25.2
3	4.06	-24.6	-55.5	29.2
3	3.45	-29.9	-66.1	37.3
2	4.09	17.3	-96.4	47
2	4.04	20.5	-86.4	61
1	4.64	-38.8	-106	6.76
1	4.42	-44.4	-114	11.1
